query_id,doc_id,rel_human,rel_clicks,D.0,D.1,D.2,D.3,Q.0,Q.1,Q.2,Q.3,QD.rank,QD.0,QD.1,QD.2,QD.3,QD.4,QD.5,QD.6,QD.7,QD.8,QD.9,QD.10,QD.11,QD.12,QD.13,QD.14,QD.15,QD.16,QD.17,QD.18,QD.19,QD.20,QD.21,action,query,last_jobtitle
00da8ed9-18aa-48e8-98fe-07a49241ef82,11825afc-1e6c-3e5b-8572-4ec43647fda9,2.0,0,0.1,0.1,0.4,0.5333333333333333,1.0,0.0,0.3333333333333333,0.3,1.0,0.0989010989010989,0.0989010989010989,0.0,0.0427807486631016,0.0,0.0,0.05797101449275361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059649319840616576,SaveResume,school psychologist,Psychologist
00da8ed9-18aa-48e8-98fe-07a49241ef82,2adc9883-3e32-3e1f-96ef-2a9bcd0cbe57,1.0,0,0.2,0.1,0.4,0.0,1.0,0.0,0.3333333333333333,0.3,2.0,0.0989010989010989,0.0989010989010989,0.0,0.048484848484848485,0.0,0.0,0.05797101449275361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059649319840616576,SaveResume,school psychologist,Psychologist
00da8ed9-18aa-48e8-98fe-07a49241ef82,e02cca7b-837c-3dcc-bdbb-5cff9975a20b,1.0,0,0.2,0.1,0.4,0.43333333333333335,1.0,0.0,0.3333333333333333,0.3,3.0,0.09,0.09,0.0,0.045454545454545456,0.0,0.0,0.015151515151515154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1272254957052602,-,school psychologist,Research Psychologist
00da8ed9-18aa-48e8-98fe-07a49241ef82,db17e3c3-f4e8-3ce0-ac39-b700130358cf,1.0,0,0.2,0.1,0.4,0.6666666666666666,1.0,0.0,0.3333333333333333,0.3,4.0,0.07563025210084033,0.08256880733944955,0.0,0.04697986577181208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1170201621834958,-,school psychologist,Licensed Clinical Psychologist
00da8ed9-18aa-48e8-98fe-07a49241ef82,3f1a6869-5de4-3673-bc5f-9b859efe25b7,2.0,0,0.2,0.1,0.4,0.5,1.0,0.0,0.3333333333333333,0.3,5.0,0.08527131782945736,0.09649122807017543,0.0,0.08391608391608392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1170201621834958,-,school psychologist,Continuing Care Clinical Psychologist
00da8ed9-18aa-48e8-98fe-07a49241ef82,bb4d3240-8173-30b8-bea4-8cfc9cde963d,1.0,0,0.2,0.1,0.4,0.5333333333333333,1.0,0.0,0.3333333333333333,0.3,6.0,0.0472972972972973,0.0546875,0.0,0.0,0.0,0.0,0.05882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07812903274358289,-,school psychologist,School Based Administrator/Disability Specialist
00da8ed9-18aa-48e8-98fe-07a49241ef82,89e3741c-cc91-30b8-ad16-b48249dfa401,0.0,0,0.2,0.1,0.4,0.5,1.0,0.0,0.3333333333333333,0.3,7.0,0.07086614173228346,0.008695652173913044,0.0,0.05847953216374269,0.0,0.0,0.05797101449275361,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059649319840616576,-,school psychologist,Research Assistant Professor
00da8ed9-18aa-48e8-98fe-07a49241ef82,e5a61505-a817-3a7c-b71c-704f7c615c63,0.0,0,0.2,0.1,0.4,0.3666666666666665,1.0,0.0,0.3333333333333333,0.3,8.0,0.008403361344537815,0.009708737864077669,0.0,0.017441860465116282,0.0,0.0,0.05797101449275361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059649319840616576,-,school psychologist,Personal Stylist
00da8ed9-18aa-48e8-98fe-07a49241ef82,62395108-78a1-306d-9a78-028b1a47275c,0.0,0,0.2,0.1,0.4,1.0,1.0,0.0,0.3333333333333333,0.3,9.0,0.054054054054054064,0.05806451612903226,0.0,0.04519774011299435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4650622712685342,-,school psychologist,Principal Scientist/ Consultant | Author/ Editor/ Adviser | Clinical Psychologist
00da8ed9-18aa-48e8-98fe-07a49241ef82,d290a4c1-4541-322f-a113-4d6d2df1c4ed,1.0,0,0.2,0.1,0.4,0.8666666666666667,1.0,0.0,0.3333333333333333,0.3,10.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14575614963853215,-,school psychologist,"Case Manager, Community Support Worker"
01117225-4aa4-4647-82d9-c55de02b07c0,e86e6cfc-ce54-36d4-a260-9ab077bab57f,2.0,0,0.1,0.1,0.0,0.1,0.0,0.0,0.11666666666666667,1.0,1.0,0.032663316582914576,0.032663316582914576,0.0,0.0,0.0,0.0,0.0,0.12547528517110265,0.12547528517110265,0.0,0.0,0.0,0.0,0.0,0.05084745762711865,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.14254205309356988,-,payroll,Payroll Manager
01117225-4aa4-4647-82d9-c55de02b07c0,d1a0a7bd-e8dc-3dcf-a714-28ee7b2d4273,2.0,0,0.1,0.1,0.0,0.1,0.0,0.0,0.11666666666666667,1.0,2.0,0.032663316582914576,0.032663316582914576,0.0,0.0,0.0,0.0,0.0,0.12547528517110265,0.12547528517110265,0.0,0.0,0.0,0.0,0.0,0.05084745762711865,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.14254205309356988,-,payroll,Payroll Manager
01117225-4aa4-4647-82d9-c55de02b07c0,f05c32d4-ff2a-3994-a0aa-b6737babc943,2.0,0,0.2,0.1,0.4,0.2333333333333333,0.0,0.0,0.11666666666666667,1.0,3.0,0.11750599520383695,0.07462686567164177,0.0,0.08463251670378619,0.0,0.0,0.0,0.046590909090909086,0.05909090909090909,0.0,0.000835421888053467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2123834558060841,-,payroll,Billing Analyst & Payroll Specialist
01117225-4aa4-4647-82d9-c55de02b07c0,3ae25030-115e-3585-b314-3455cc1cc9f4,2.0,0,0.1,0.1,0.0,0.1,0.0,0.0,0.11666666666666667,1.0,4.0,0.034653465346534656,0.034653465346534656,0.0,0.0,0.0,0.0,0.05,0.10248447204968944,0.10248447204968944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20322701173843136,-,payroll,Senior Payroll Manager
